,Rank2,Rank3,Rank4,Rank5,OTU_Median,OTU_Max,OTU_Min,OTU_count,Min_relabund,Max_relabund,Median_relabund,Cumulative median_rel
53,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,0.000217126,0.001755671,1.38E-05,2,0.000456995,0.003511342,0.001087146,
119,Chloroflexi,KD4-96,uncultured_bacterium,NA,0.000215632,0.00095037,5.53E-05,5,0.001322542,0.004452649,0.002435121,0.002435121
70,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,0.000187368,0.001207914,0.000187368,1,0.000187368,0.001207914,0.000504857,
80,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,0.000186881,0.001866158,0.000101028,5,0.003076348,0.008803258,0.004882445,0.004882445
180,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,0.000180194,0.000721289,0,2,0.000380189,0.001262514,0.000659585,
202,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,0.000172505,0.001115443,0,2,0.000388137,0.002133339,0.000776211,
120,Chloroflexi,KD4-96,uncultured_Chloroflexi_bacterium,NA,0.000172505,0.000719951,0.000172505,1,0.000172505,0.000719951,0.000481053,
85,Actinobacteria,NA,NA,NA,0.000171991,0.001654625,2.77E-05,2,0.00052051,0.003309251,0.001020136,
7,Acidobacteria,DA023,uncultured_bacterium,NA,0.00017072,0.002212049,0,10,0.003688173,0.021666812,0.008601033,0.008601033
55,Actinobacteria,Micromonosporales,Micromonosporaceae,Phytohabitans,0.000166406,0.002515754,1.20E-05,2,0.000373042,0.005001768,0.001202021,
182,Proteobacteria,Alphaproteobacteria,Rhizobiales,alphaI_cluster,0.000149257,0.000483572,0.000149257,1,0.000149257,0.000483572,0.000254444,
17,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,0.00014631,0.002829743,0,12,0.00703109,0.03195924,0.011131653,0.011131653
174,Proteobacteria,Alphaproteobacteria,MNG3,uncultured_bacterium,0.000142571,0.000996722,0.000142571,1,0.000142571,0.000996722,0.000352396,
6,Acidobacteria,DA023,uncultured_Acidobacteria_bacterium,NA,0.000138938,0.002220145,3.79E-05,5,0.000959935,0.011100726,0.002832233,0.002832233
73,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,0.000118809,0.008023858,0,17,0.015439242,0.087377424,0.047669735,0.050501968
9,Acidobacteria,DS-100,uncultured_Acidobacteriales_bacterium,NA,0.000115954,0.000641569,0.000115954,1,0.000115954,0.000641569,0.000253735,
31,Actinobacteria,Frankiales,uncultured,uncultured_actinobacterium,0.000115004,0.000447514,0.000115004,1,0.000115004,0.000447514,0.000208563,
8,Acidobacteria,DA023,NA,NA,0.000113677,0.001381155,7.58E-05,4,0.000467337,0.005524621,0.001383273,
75,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,0.000110531,0.000953795,0.000110531,1,0.000110531,0.000953795,0.000380769,
82,Actinobacteria,Thermoleophilia,Solirubrobacterales,480-2,0.00010813,0.000506216,5.75E-05,2,0.000250165,0.000985197,0.000489192,
188,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,0.000106921,0.000440627,0.000106921,1,0.000106921,0.000440627,0.00018049,
36,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,0.000105056,0.00183233,1.44E-05,2,0.000276335,0.003568838,0.00068494,
59,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,0.000102152,0.000784951,0,14,0.002946969,0.009270954,0.005131784,0.005131784
183,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,0.000100628,0.001051087,0.000100628,1,0.000100628,0.001051087,0.000317413,
26,Actinobacteria,Frankiales,Nakamurellaceae,Humicoccus,0.000100539,0.000547305,0.000100539,1,0.000100539,0.000547305,0.000262095,
35,Actinobacteria,Glycomycetales,Glycomycetaceae,uncultured_bacterium,9.97E-05,0.001980976,9.97E-05,1,9.97E-05,0.001980976,0.000423022,
247,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101_soil_group,9.01E-05,0.000776162,8.84E-05,2,0.000241108,0.001469272,0.000469637,
199,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,8.63E-05,0.004645945,0,45,0.03728578,0.153943596,0.075107041,0.075107041
24,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,8.61E-05,0.000391298,3.44E-05,2,0.00017222,0.000722401,0.000374454,
44,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,8.04E-05,0.000448885,6.89E-05,2,0.000160738,0.000797766,0.000475208,
20,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,8.00E-05,0.000525008,3.32E-05,5,0.000589508,0.002121962,0.00103572,
66,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,7.87E-05,0.008100966,1.33E-05,2,0.000199344,0.016158592,0.00295944,0.00295944
51,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,7.77E-05,0.009596384,0,11,0.004596789,0.081657657,0.010589477,0.013548917
81,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,6.67E-05,0.001083506,0,3,0.000819401,0.002807835,0.001520405,
175,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,6.53E-05,0.001563653,0,12,0.004744442,0.015695377,0.008265332,0.008265332
10,Acidobacteria,Holophagae,43F-1404R,uncultured_bacterium,5.74E-05,0.000437553,1.14E-05,7,0.000967145,0.002678979,0.001529269,
74,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora,5.54E-05,0.003736443,5.54E-05,1,5.54E-05,0.003736443,0.000390218,
124,Chloroflexi,S085,uncultured_bacterium,NA,5.53E-05,0.000312864,5.53E-05,1,5.53E-05,0.000312864,0.000126995,
29,Actinobacteria,Frankiales,Sporichthyaceae,NA,5.30E-05,0.000367646,3.70E-05,2,0.000149257,0.000688538,0.000342354,
45,Actinobacteria,Micrococcales,Microbacteriaceae,NA,5.07E-05,0.000769895,4.61E-05,2,0.00011514,0.00138938,0.000288989,
176,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,4.61E-05,0.002733923,0,7,0.003790009,0.014972978,0.006437131,0.006437131
49,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium_,4.45E-05,0.005346007,0,2,0.000109234,0.010647704,0.000316537,
64,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Jiangella,4.43E-05,0.0010448,4.43E-05,1,4.43E-05,0.0010448,0.000249009,
110,Chloroflexi,Anaerolineae,Anaerolineales,NA,4.29E-05,0.001509423,4.29E-05,1,4.29E-05,0.001509423,0.000207547,
126,Chloroflexi,Thermomicrobia,JG30-KF-CM45,uncultured_Chloroflexi_bacterium,4.25E-05,0.000229522,2.74E-05,2,8.68E-05,0.000384969,0.000230005,
18,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,4.16E-05,0.000363865,0,6,0.000448684,0.00174304,0.000814393,
13,Acidobacteria,Holophagae,iii1-8,uncultured_bacterium,4.05E-05,0.000496796,2.32E-05,2,8.11E-05,0.000949095,0.000377491,
236,Spirochaetes,Spirochaetales,Leptospiraceae,Turneriella,3.79E-05,0.000675647,3.79E-05,1,3.79E-05,0.000675647,9.94E-05,
167,Planctomycetes,Planctomycetacia,Planctomycetales,NA,3.79E-05,0.000479844,3.79E-05,1,3.79E-05,0.000479844,0.000148472,
92,Bacteroidetes,Cytophagia,Cytophagales,NA,3.76E-05,0.000836139,0,2,0.00012673,0.001672278,0.000500477,
86,Armatimonadetes,Armatimonadia,Armatimonadales,uncultured_bacterium,3.70E-05,0.00038095,1.37E-05,2,7.42E-05,0.000761899,0.000244978,
207,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,3.48E-05,0.000975578,8.04E-06,6,0.000820997,0.003234478,0.001325127,
67,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,3.32E-05,0.009728946,1.11E-05,2,6.64E-05,0.016912545,0.000776598,
210,Proteobacteria,Betaproteobacteria,SC-I-84,uncultured_bacterium,3.16E-05,0.000395898,0,4,0.000162112,0.00156828,0.000399676,
200,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,2.88E-05,0.005202636,0,15,0.005146414,0.053603574,0.028213188,0.028213188
65,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,NA,2.82E-05,0.007025179,0,6,0.00180012,0.039656479,0.019689146,0.047902334
235,Proteobacteria,NA,NA,NA,2.78E-05,0.003399463,0,2,5.74E-05,0.006687112,0.000229468,
84,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,2.76E-05,0.000980065,2.76E-05,1,2.76E-05,0.000980065,0.00010569,
113,Chloroflexi,Chloroflexales,Chloroflexaceae,Roseiflexus,2.76E-05,0.000862779,0,31,0.002296975,0.018503053,0.009105717,0.009105717
185,Proteobacteria,Alphaproteobacteria,Rhizobiales,JG35-K1-AG5,2.76E-05,0.000546267,2.76E-05,1,2.76E-05,0.000546267,0.000158644,
76,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Sphaerisporangium,2.53E-05,0.000502214,2.53E-05,1,2.53E-05,0.000502214,0.000142912,
42,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,2.47E-05,0.000221062,2.47E-05,1,2.47E-05,0.000221062,6.88E-05,
155,Gemmatimonadetes,BD2-11_terrestrial_group,NA,NA,2.39E-05,0.000579109,2.39E-05,1,2.39E-05,0.000579109,0.000179025,
2,Acidobacteria,Candidatus_Chloracidobacterium,uncultured_Acidobacteria_bacterium,NA,2.32E-05,0.000618639,1.14E-05,4,0.000218145,0.002399943,0.000642738,
192,Proteobacteria,Alphaproteobacteria,Rhodospirillales,wr0007,2.32E-05,0.000431264,2.32E-05,1,2.32E-05,0.000431264,7.81E-05,
1,Acidobacteria,24-Nov,NA,NA,2.32E-05,0.000225737,2.32E-05,1,2.32E-05,0.000225737,8.08E-05,
27,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,2.30E-05,0.000185527,2.30E-05,1,2.30E-05,0.000185527,5.87E-05,
136,Cyanobacteria,SubsectionIII,FamilyI,Microcoleus,2.30E-05,0.001838907,0,2,4.59E-05,0.00327517,0.001022389,
60,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,2.30E-05,0.001591472,0,3,0.000386858,0.004774415,0.000876818,
229,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2.28E-05,0.002584867,0,11,0.001160368,0.018867925,0.005784256,0.005784256
128,Cyanobacteria,ML635J-21,NA,NA,2.28E-05,0.000512358,2.28E-05,1,2.28E-05,0.000512358,0.000106903,
109,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,2.24E-05,0.000961202,0,72,0.007983694,0.062590745,0.022016548,0.022016548
54,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,2.21E-05,0.000433616,0,2,6.64E-05,0.000579109,0.000265768,
116,Chloroflexi,Chloroflexales,Oscillochloridaceae,Oscillochloris,2.07E-05,0.001111794,0,4,0.000306186,0.003967626,0.001514454,
228,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,2.00E-05,0.000292033,0,5,0.000151569,0.001092535,0.000615202,
71,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,2.00E-05,0.000265245,2.00E-05,1,2.00E-05,0.000265245,7.93E-05,
168,Planctomycetes,vadinHA49,uncultured_bacterium,NA,2.00E-05,0.000209896,2.00E-05,1,2.00E-05,0.000209896,6.93E-05,
52,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,1.98E-05,0.001246647,5.64E-06,9,0.001944508,0.00919517,0.003418253,0.003418253
190,Proteobacteria,Alphaproteobacteria,Rhodospirillales,CCU22,1.98E-05,0.00013711,1.98E-05,1,1.98E-05,0.00013711,6.17E-05,
111,Chloroflexi,Anaerolineae,NA,NA,1.71E-05,0.000248581,0,2,3.42E-05,0.000402513,0.000187107,
191,Proteobacteria,Alphaproteobacteria,Rhodospirillales,KCM-B-60,1.69E-05,0.00026407,1.69E-05,1,1.69E-05,0.00026407,7.42E-05,
171,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,1.69E-05,0.000249175,0,3,0.000113677,0.000747524,0.000203996,
19,Actinobacteria,Acidimicrobiia,Acidimicrobiales,TM214,1.57E-05,0.000195818,0,6,0.000236547,0.000753079,0.000498523,
46,Actinobacteria,Micrococcales,Microbacteriaceae,Amnibacterium,1.44E-05,0.000378132,1.44E-05,1,1.44E-05,0.000378132,8.32E-05,
58,Actinobacteria,PeM15,uncultured_bacterium,NA,1.44E-05,0.000222632,1.44E-05,1,1.44E-05,0.000222632,7.76E-05,
11,Acidobacteria,Holophagae,43F-1404R,NA,1.38E-05,0.000307397,0,3,0.000140009,0.000551169,0.000329517,
68,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Crossiella,1.33E-05,0.000392435,1.33E-05,1,1.33E-05,0.000392435,9.93E-05,
211,Proteobacteria,Betaproteobacteria,TRA3-20,uncultured_bacterium,1.33E-05,0.00039207,1.33E-05,1,1.33E-05,0.00039207,8.91E-05,
224,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,1.26E-05,0.002480721,0,4,0.000100628,0.007473691,0.000944833,
139,Cyanobacteria,SubsectionIII,FamilyI,Phormidium,1.26E-05,0.001675208,1.26E-05,1,1.26E-05,0.001675208,0.000133216,
241,Verrucomicrobia,OPB35_soil_group,uncultured_Verrucomicrobia_bacterium,NA,1.26E-05,0.000554979,1.26E-05,1,1.26E-05,0.000554979,0.000157684,
163,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_planctomycete,1.26E-05,0.000368308,1.26E-05,1,1.26E-05,0.000368308,0.000104034,
184,Proteobacteria,Alphaproteobacteria,Rhizobiales,Family_Incertae_Sedis,1.26E-05,0.000207245,1.26E-05,1,1.26E-05,0.000207245,7.16E-05,
249,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18_freshwater_group,1.26E-05,0.000161826,1.26E-05,1,1.26E-05,0.000161826,5.71E-05,
231,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,1.23E-05,0.001200796,0,35,0.002990458,0.03508158,0.008255954,0.008255954
156,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,1.23E-05,0.000327484,0,16,0.000404183,0.004316729,0.001645969,0.009901922
154,Gemmatimonadetes,AT425-EubC11_terrestrial_group,uncultured_bacterium,NA,1.21E-05,0.000400604,0,10,0.00041686,0.003255837,0.001182106,
243,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,1.20E-05,0.000859977,0,24,0.004337305,0.014824704,0.006615034,0.006615034
215,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,1.19E-05,0.000490158,0,35,0.00276033,0.012966663,0.004169979,0.010785013
177,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,1.19E-05,0.000477722,0,6,0.000632855,0.002031685,0.001119806,
32,Actinobacteria,Frankiales,uncultured,NA,1.16E-05,0.000182813,1.16E-05,1,1.16E-05,0.000182813,6.82E-05,
170,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1.15E-05,0.001794289,0,18,0.002810735,0.020310977,0.007743004,0.007743004
162,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,1.15E-05,0.000378103,0,25,0.000757844,0.009278987,0.003174552,0.010917557
4,Acidobacteria,Candidatus_Chloracidobacterium,NA,NA,1.15E-05,0.000328705,0,2,3.79E-05,0.00065741,0.000133587,
179,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,1.15E-05,0.000323197,0,3,0.000231394,0.000920029,0.000408668,
122,Chloroflexi,Ktedonobacteria,C0119,uncultured_bacterium,1.15E-05,0.00017271,0,2,2.30E-05,0.000345419,0.000130558,
208,Proteobacteria,Betaproteobacteria,Nitrosomonadales,NA,1.14E-05,0.015813801,1.14E-05,1,1.14E-05,0.015813801,0.000147269,
214,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,1.14E-05,0.001481176,0,57,0.006795332,0.073846729,0.018414122,0.018414122
96,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,1.14E-05,0.000806754,0,56,0.004763407,0.032847524,0.011481617,0.02989574
38,Actinobacteria,MB-A2-108,uncultured_actinobacterium,NA,1.14E-05,9.71E-05,1.14E-05,1,1.14E-05,9.71E-05,3.44E-05,
15,Acidobacteria,Holophagae,Sva0725,uncultured_bacterium,1.13E-05,6.85E-05,1.13E-05,1,1.13E-05,6.85E-05,3.73E-05,
251,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,1.11E-05,0.001935271,0,25,0.001932501,0.028542531,0.016798138,0.016798138
142,Cyanobacteria,NA,NA,NA,1.11E-05,0.000150491,1.11E-05,1,1.11E-05,0.000150491,2.69E-05,
246,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,9.28E-06,0.000731898,0,13,0.000884151,0.009480963,0.002429145,0.002429145
158,Gemmatimonadetes,S0134_terrestrial_group,uncultured_bacterium,NA,9.28E-06,0.000197531,9.28E-06,1,9.28E-06,0.000197531,4.02E-05,
118,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,9.14E-06,0.000441706,0,4,0.000137098,0.001546389,0.000328649,
186,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,9.14E-06,0.000381553,0,10,0.000870768,0.002799302,0.001581883,0.001581883
107,Chloroflexi,AKIW781,uncultured_bacterium,NA,8.09E-06,0.000123455,8.09E-06,1,8.09E-06,0.000123455,3.42E-05,
194,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,8.04E-06,0.001788005,0,35,0.007549792,0.029522482,0.016819488,0.016819488
125,Chloroflexi,Thermomicrobia,JG30-KF-CM45,uncultured_bacterium,8.03E-06,0.000176787,0,6,0.000172505,0.000972566,0.000464606,
91,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,7.92E-06,0.000587613,0,61,0.004823648,0.021636257,0.011627791,0.011627791
83,Actinobacteria,Thermoleophilia,Solirubrobacterales,0319-6M6,7.92E-06,0.000102726,7.92E-06,1,7.92E-06,0.000102726,2.80E-05,
90,Armatimonadetes,NA,NA,NA,7.45E-06,0.000193802,0,2,2.68E-05,0.000345409,0.000161313,
206,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,7.19E-06,0.001107001,0,2,2.88E-05,0.001905106,0.000397056,
132,Cyanobacteria,SubsectionI,FamilyI,Cyanothece,6.67E-06,0.001936588,6.67E-06,1,6.67E-06,0.001936588,7.20E-05,
195,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,6.67E-06,0.001028365,0,7,0.001006734,0.005526269,0.003070946,0.003070946
144,Elusimicrobia,Lineage_IIb,uncultured_bacterium,NA,6.32E-06,0.000227717,0,2,1.26E-05,0.000455435,0.000113197,
106,Chlorobi,Chlorobia,Chlorobiales,OPB56,5.79E-06,0.000222577,0,2,2.53E-05,0.000316824,0.000104484,
151,Firmicutes,Bacilli,Bacillales,Family_XII_Incertae_Sedis,5.78E-06,0.010749123,5.78E-06,1,5.78E-06,0.010749123,6.46E-05,
108,Chloroflexi,AKIW781,uncultured_Chloroflexi_bacterium,NA,5.74E-06,0.000338947,0,4,0.000104365,0.001061715,0.000213073,
95,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9_marine_group,5.71E-06,0.000100628,0,2,1.26E-05,0.000201256,5.45E-05,
39,Actinobacteria,MB-A2-108,NA,NA,4.05E-06,0.000114813,4.05E-06,1,4.05E-06,0.000114813,3.52E-05,
173,Proteobacteria,Alphaproteobacteria,DB1-14,uncultured_alpha_proteobacterium,3.96E-06,0.001135469,0,2,1.19E-05,0.001975738,0.00029763,
112,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,3.96E-06,0.000180723,0,5,6.85E-05,0.000891278,0.000234965,
147,Firmicutes,Bacilli,Bacillales,Bacillaceae,0,0.010673538,0,11,0.000560643,0.075630717,0.005460472,0.005460472
149,Firmicutes,Bacilli,Bacillales,Planococcaceae,0,0.003100754,0,4,0.000330636,0.011938513,0.002024563,0.007485035
205,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,0,0.00305117,0,6,0.000115004,0.017901193,0.001075131,
93,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,0,0.002068821,0,27,0.001400729,0.032462164,0.00563234,0.00563234
196,Proteobacteria,Alphaproteobacteria,Sphingomonadales,NA,0,0.001668468,0,3,5.53E-05,0.003557339,0.001071058,
230,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,0,0.001424527,0,4,8.11E-05,0.00291525,0.000674467,
237,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta,0,0.001222728,0,4,0.00012673,0.004844529,0.000431914,
101,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,KD3-93,0,0.001214726,0,2,0,0.002429452,2.65E-05,
135,Cyanobacteria,SubsectionIII,FamilyI,uncultured,0,0.001080762,0,3,1.16E-05,0.003069234,0.000239553,
232,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,0,0.000952917,0,25,0.004656111,0.021520061,0.009870913,0.009870913
222,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0.000893393,0,1,0,0.000893393,6.35E-05,
98,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,0,0.00082859,0,14,0.000543121,0.006165133,0.002176385,0.002176385
209,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,0,0.000757744,0,11,0.000194037,0.005914655,0.001157604,
201,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0.000733439,0,3,2.88E-05,0.00191738,0.000251603,
204,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,0,0.000618145,0,1,0,0.000618145,0,
157,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,0,0.000518952,0,10,0.000416814,0.004890973,0.001710949,0.001710949
153,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,0,0.000513538,0,30,3.96E-06,0.012425342,0.001545464,0.003256413
141,Cyanobacteria,SubsectionIII,FamilyI,uncultured_bacterium,0,0.000506919,0,1,0,0.000506919,4.50E-05,
146,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,0,0.00047604,0,8,2.21E-05,0.003521987,0.000545332,
159,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,0,0.000463355,0,2,0,0.000926711,0.000126863,
131,Cyanobacteria,SM1D11,uncultured_bacterium,NA,0,0.000456131,0,6,9.50E-05,0.002185116,0.000297487,
165,Planctomycetes,Pla4_lineage,uncultured_bacterium,NA,0,0.000445639,0,1,0,0.000445639,0.00013796,
140,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix,0,0.000435633,0,1,0,0.000435633,5.60E-05,
227,Proteobacteria,Gammaproteobacteria,NKB5,uncultured_bacterium,0,0.000427793,0,3,3.17E-05,0.001164412,0.000118721,
244,Verrucomicrobia,Opitutae,Opitutales,NA,0,0.000427713,0,1,0,0.000427713,5.96E-05,
94,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,0,0.000417682,0,10,0.000292205,0.003465266,0.00091647,
187,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,0,0.000413822,0,15,0.001303707,0.005060161,0.002616905,0.002616905
240,Verrucomicrobia,OPB35_soil_group,uncultured_bacterium,NA,0,0.000409882,0,14,0.000846259,0.003550738,0.002272118,0.004889023
216,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,0,0.000388994,0,15,0.000246789,0.003594846,0.000623292,
143,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,0,0.000359225,0,1,0,0.000359225,4.31E-05,
16,Acidobacteria,Order_Incertae_Sedis,Family_Incertae_Sedis,Bryobacter,0,0.000337623,0,9,0.000406694,0.002978147,0.001076045,
242,Verrucomicrobia,OPB35_soil_group,NA,NA,0,0.000335459,0,8,8.84E-05,0.002534593,0.000630056,
